Alcohol,z,Malic_Acid,,Ash,,Ash_Alcanity,,Magnesium,,Total_Phenols,,Flavanoids,,Nonflavanoid_Phenols,,Proanthocyanins,,Color_Intensity,,Hue,,OD280,,Proline,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.82,-2.239207911,1.75,-0.347253777,2.42,-6.230425873,14,8.145960945,111,,3.88,,3.74,,0.32,,1.87,,7.05,,1.01,,3.26,,1190,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.77,-2.289207911,1.9,-0.197253777,2.68,-5.970425873,17.1,11.24596095,115,,3,,2.79,,0.39,,1.68,,6.3,,1.13,,2.93,,1375,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.74,-2.319207911,1.67,-0.427253777,2.25,-6.400425873,16.4,10.54596095,118,,2.6,,2.9,,0.21,,1.62,,5.85,,0.92,,3.2,,1060,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.56,-2.499207911,1.73,-0.367253777,2.46,-6.190425873,20.5,14.64596095,116,,2.96,,2.78,,0.2,,2.45,,6.25,,0.98,,3.03,,1120,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.22,-1.839207911,1.7,-0.397253777,2.3,-6.350425873,16.3,10.44596095,118,,3.2,,3,,0.26,,2.03,,6.38,,0.94,,3.31,,970,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.29,-2.769207911,1.97,-0.127253777,2.68,-5.970425873,16.8,10.94596095,102,,3,,3.23,,0.31,,1.66,,6,,1.07,,2.84,,1270,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.72,-2.339207911,1.43,-0.667253777,2.5,-6.150425873,16.7,10.84596095,108,,3.4,,3.67,,0.19,,2.04,,6.8,,0.89,,2.87,,1285,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.37,-3.689207911,0.94,-1.157253777,1.36,-7.290425873,10.6,4.745960945,88,,1.98,,0.57,,0.28,,0.42,,1.95,,1.05,,1.82,,520,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.33,-3.729207911,1.1,-0.997253777,2.28,-6.370425873,16,10.14596095,101,,2.05,,1.09,,0.63,,0.41,,3.27,,1.25,,1.67,,680,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.64,-3.419207911,1.36,-0.737253777,2.02,-6.630425873,16.8,10.94596095,100,,2.02,,1.41,,0.53,,0.62,,5.75,,0.98,,1.59,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.67,-2.389207911,1.25,-0.847253777,1.92,-6.730425873,18,12.14596095,94,,2.1,,1.79,,0.32,,0.73,,3.8,,1.23,,2.46,,630,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.37,-3.689207911,1.13,-0.967253777,2.16,-6.490425873,19,13.14596095,87,,3.5,,3.1,,0.19,,1.87,,4.45,,1.22,,2.87,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.17,-3.889207911,1.45,-0.647253777,2.53,-6.120425873,19,13.14596095,104,,1.89,,1.75,,0.45,,1.03,,2.95,,1.45,,2.23,,355,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.37,-3.689207911,1.21,-0.887253777,2.56,-6.090425873,18.1,12.24596095,98,,2.42,,2.65,,0.37,,2.08,,4.6,,1.19,,2.3,,678,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.11,-2.949207911,1.01,-1.087253777,1.7,-6.950425873,15,9.145960945,78,,2.98,,3.18,,0.26,,2.28,,5.3,,1.12,,3.18,,502,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.37,-3.689207911,1.17,-0.927253777,1.92,-6.730425873,19.6,13.74596095,78,,2.11,,2,,0.27,,1.04,,4.68,,1.12,,3.48,,510,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.34,-2.719207911,0.94,-1.157253777,2.36,-6.290425873,17,11.14596095,110,,2.53,,1.3,,0.55,,0.42,,3.17,,1.02,,1.93,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.21,-3.849207911,1.19,-0.907253777,1.75,-6.900425873,16.8,10.94596095,151,,1.85,,1.28,,0.14,,2.5,,2.85,,1.28,,3.07,,718,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.29,-3.769207911,1.61,-0.487253777,2.21,-6.440425873,20.4,14.54596095,103,,1.1,,1.02,,0.37,,1.46,,3.05,,0.906,,1.82,,870,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.86,-2.199207911,1.51,-0.587253777,2.67,-5.980425873,25,19.14596095,86,,2.95,,2.86,,0.21,,1.87,,3.38,,1.36,,3.16,,410,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.49,-2.569207911,1.66,-0.437253777,2.24,-6.410425873,24,18.14596095,87,,1.88,,1.84,,0.27,,1.03,,3.74,,0.98,,2.78,,472,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.99,-3.069207911,1.67,-0.427253777,2.6,-6.050425873,30,24.14596095,139,,3.3,,2.89,,0.21,,1.96,,3.35,,1.31,,3.5,,985,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.96,-4.099207911,1.09,-1.007253777,2.3,-6.350425873,21,15.14596095,101,,3.38,,2.14,,0.13,,1.65,,3.21,,0.99,,3.13,,886,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.66,-4.399207911,1.88,-0.217253777,1.92,-6.730425873,16,10.14596095,97,,1.61,,1.57,,0.34,,1.15,,3.8,,1.23,,2.14,,428,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.03,-3.029207911,0.9,-1.197253777,1.71,-6.940425873,16,10.14596095,86,,1.95,,2.03,,0.24,,1.46,,4.6,,1.19,,2.48,,392,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.84,-4.219207911,2.89,0.792746223,2.23,-6.420425873,18,12.14596095,112,,1.72,,1.32,,0.43,,0.95,,2.65,,0.96,,2.52,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.33,-3.729207911,0.99,-1.107253777,1.95,-6.700425873,14.8,8.945960945,136,,1.9,,1.85,,0.35,,2.76,,3.4,,1.06,,2.31,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.7,-3.359207911,3.87,1.772746223,2.4,-6.250425873,23,17.14596095,101,,2.83,,2.55,,0.43,,1.95,,2.57,,1.19,,3.13,,463,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,-4.059207911,0.92,-1.177253777,2,-6.650425873,19,13.14596095,86,,2.42,,2.26,,0.3,,1.43,,2.5,,1.38,,3.12,,278,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.72,-3.339207911,1.81,-0.287253777,2.2,-6.450425873,18.8,12.94596095,86,,2.2,,2.53,,0.26,,1.77,,3.9,,1.16,,3.14,,714,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08,-3.979207911,1.13,-0.967253777,2.51,-6.140425873,24,18.14596095,78,,2,,1.58,,0.4,,1.4,,2.2,,1.31,,2.72,,630,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.05,-3.009207911,3.86,1.762746223,2.32,-6.330425873,22.5,16.64596095,85,,1.65,,1.59,,0.61,,1.62,,4.8,,0.84,,2.01,,515,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.84,-4.219207911,0.89,-1.207253777,2.58,-6.070425873,18,12.14596095,94,,2.2,,2.21,,0.22,,2.35,,3.05,,0.79,,3.08,,520,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.67,-3.389207911,0.98,-1.117253777,2.24,-6.410425873,18,12.14596095,99,,2.2,,1.94,,0.3,,1.46,,2.62,,1.23,,3.16,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.16,-3.899207911,1.61,-0.487253777,2.31,-6.340425873,22.8,16.94596095,90,,1.78,,1.69,,0.43,,1.56,,2.45,,1.33,,2.26,,495,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.65,-4.409207911,1.67,-0.427253777,2.62,-6.030425873,26,20.14596095,88,,1.92,,1.61,,0.4,,1.34,,2.6,,1.36,,3.21,,562,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.64,-4.419207911,2.06,-0.037253777,2.46,-6.190425873,21.6,15.74596095,84,,1.95,,1.69,,0.48,,1.35,,2.8,,1,,2.75,,680,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08,-3.979207911,1.33,-0.767253777,2.3,-6.350425873,23.6,17.74596095,70,,2.2,,1.59,,0.42,,1.38,,1.74,,1.07,,3.21,,625,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08,-3.979207911,1.83,-0.267253777,2.32,-6.330425873,18.5,12.64596095,81,,1.6,,1.5,,0.52,,1.64,,2.4,,1.08,,2.27,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,-4.059207911,1.51,-0.587253777,2.42,-6.230425873,22,16.14596095,86,,1.45,,1.25,,0.5,,1.63,,3.6,,1.05,,2.65,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.69,-3.369207911,1.53,-0.567253777,2.26,-6.390425873,20.7,14.84596095,80,,1.38,,1.46,,0.58,,1.62,,3.05,,0.96,,2.06,,495,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.29,-3.769207911,2.83,0.732746223,2.22,-6.430425873,18,12.14596095,88,,2.45,,2.25,,0.25,,1.99,,2.15,,1.15,,3.3,,290,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.62,-4.439207911,1.99,-0.107253777,2.28,-6.370425873,18,12.14596095,98,,3.02,,2.26,,0.17,,1.35,,3.25,,1.16,,2.96,,345,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.47,-3.589207911,1.52,-0.577253777,2.2,-6.450425873,19,13.14596095,162,,2.5,,2.27,,0.32,,3.28,,2.6,,1.16,,2.63,,937,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.81,-4.249207911,2.12,0.022746223,2.74,-5.910425873,21.5,15.64596095,134,,1.6,,0.99,,0.14,,1.56,,2.5,,0.95,,2.26,,625,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.29,-3.769207911,1.41,-0.687253777,1.98,-6.670425873,16,10.14596095,85,,2.55,,2.5,,0.29,,1.77,,2.9,,1.23,,2.74,,428,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.37,-3.689207911,1.07,-1.027253777,2.1,-6.550425873,18.5,12.64596095,88,,3.52,,3.75,,0.24,,1.95,,4.5,,1.04,,2.77,,660,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.29,-3.769207911,3.17,1.072746223,2.21,-6.440425873,18,12.14596095,88,,2.85,,2.99,,0.45,,2.81,,2.3,,1.42,,2.83,,406,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08,-3.979207911,2.08,-0.017253777,1.7,-6.950425873,17.5,11.64596095,97,,2.23,,2.17,,0.26,,1.4,,3.3,,1.27,,2.96,,710,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.6,-3.459207911,1.34,-0.757253777,1.9,-6.750425873,18.5,12.64596095,88,,1.45,,1.36,,0.29,,1.35,,2.45,,1.04,,2.77,,562,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.34,-3.719207911,2.45,0.352746223,2.46,-6.190425873,21,15.14596095,98,,2.56,,2.11,,0.34,,1.31,,2.8,,0.8,,3.38,,438,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.82,-4.239207911,1.72,-0.377253777,1.88,-6.770425873,19.5,13.64596095,86,,2.5,,1.64,,0.37,,1.42,,2.06,,0.94,,2.44,,415,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.51,-3.549207911,1.73,-0.367253777,1.98,-6.670425873,20.5,14.64596095,85,,2.2,,1.92,,0.32,,1.48,,2.94,,1.04,,3.57,,672,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.42,-3.639207911,2.55,0.452746223,2.27,-6.380425873,22,16.14596095,90,,1.68,,1.84,,0.66,,1.42,,2.7,,0.86,,3.3,,315,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.25,-3.809207911,1.73,-0.367253777,2.12,-6.530425873,19,13.14596095,80,,1.65,,2.03,,0.37,,1.63,,3.4,,1,,3.17,,510,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.72,-3.339207911,1.75,-0.347253777,2.28,-6.370425873,22.5,16.64596095,84,,1.38,,1.76,,0.48,,1.63,,3.3,,0.88,,2.42,,488,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.22,-3.839207911,1.29,-0.807253777,1.94,-6.710425873,19,13.14596095,92,,2.36,,2.04,,0.39,,2.08,,2.7,,0.86,,3.02,,312,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.61,-4.449207911,1.35,-0.747253777,2.7,-5.950425873,20,14.14596095,94,,2.74,,2.92,,0.29,,2.49,,2.65,,0.96,,3.26,,680,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.46,-4.599207911,3.74,1.642746223,1.82,-6.830425873,19.5,13.64596095,107,,3.18,,2.58,,0.24,,3.58,,2.9,,0.75,,2.81,,562,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.52,-3.539207911,2.43,0.332746223,2.17,-6.480425873,21,15.14596095,88,,2.55,,2.27,,0.26,,1.22,,2,,0.9,,2.78,,325,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.76,-4.299207911,2.68,0.582746223,2.92,-5.730425873,20,14.14596095,103,,1.75,,2.03,,0.6,,1.05,,3.8,,1.23,,2.5,,607,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.41,-4.649207911,0.74,-1.357253777,2.5,-6.150425873,21,15.14596095,88,,2.48,,2.01,,0.42,,1.44,,3.08,,1.1,,2.31,,434,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08,-3.979207911,1.39,-0.707253777,2.5,-6.150425873,22.5,16.64596095,84,,2.56,,2.29,,0.43,,1.04,,2.9,,0.93,,3.19,,385,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.03,-5.029207911,1.51,-0.587253777,2.2,-6.450425873,21.5,15.64596095,85,,2.46,,2.17,,0.52,,2.01,,1.9,,1.71,,2.87,,407,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.82,-4.239207911,1.47,-0.627253777,1.99,-6.660425873,20.8,14.94596095,86,,1.98,,1.6,,0.3,,1.53,,1.95,,0.95,,3.33,,495,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.42,-3.639207911,1.61,-0.487253777,2.19,-6.460425873,22.5,16.64596095,108,,2,,2.09,,0.34,,1.61,,2.06,,1.06,,2.96,,345,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.77,-3.289207911,3.43,1.332746223,1.98,-6.670425873,16,10.14596095,80,,1.63,,1.25,,0.43,,0.83,,3.4,,0.7,,2.12,,372,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,-4.059207911,3.43,1.332746223,2,-6.650425873,19,13.14596095,87,,2,,1.64,,0.37,,1.87,,1.28,,0.93,,3.05,,564,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.45,-4.609207911,2.4,0.302746223,2.42,-6.230425873,20,14.14596095,96,,2.9,,2.79,,0.32,,1.83,,3.25,,0.8,,3.39,,625,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.56,-4.499207911,2.05,-0.047253777,3.23,-5.420425873,28.5,22.64596095,119,,3.18,,5.08,,0.47,,1.87,,6,,0.93,,3.69,,465,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.42,-3.639207911,4.43,2.332746223,2.73,-5.920425873,26.5,20.64596095,102,,2.2,,2.13,,0.43,,1.71,,2.08,,0.92,,3.12,,365,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.05,-3.009207911,5.8,3.702746223,2.13,-6.520425873,21.5,15.64596095,86,,2.62,,2.65,,0.3,,2.01,,2.6,,0.73,,3.1,,380,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.87,-4.189207911,4.31,2.212746223,2.39,-6.260425873,21,15.14596095,82,,2.86,,3.03,,0.21,,2.91,,2.8,,0.75,,3.64,,380,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.07,-3.989207911,2.16,0.062746223,2.17,-6.480425873,21,15.14596095,85,,2.6,,2.65,,0.37,,1.35,,2.76,,0.86,,3.28,,378,,,,,,,,,,,,,,,,,,,,,,,,,,,
